Month,MRR,ARR,SM_Spend,Active_Customers,New_Logos,CAC,ARPU_Mo,Churn_Rate_Est,LTV,LTV_to_CAC,ARR_Growth_YoY,EBITDA_Margin,Rule_of_40
2024-01-01,486479.55,5837754.6,41006.73,262,2,20503.37,1856.79,0.02,99028.92,4.83,0.0,0.22,22.0
2024-02-01,471953.88,5663446.56,41557.74,256,2,20778.87,1843.57,0.02,98323.73,4.73,0.0,0.22,22.0
2024-03-01,486094.37,5833132.44,47214.4,263,7,6744.91,1848.27,0.02,98574.27,14.61,0.0,0.22,22.0
2024-04-01,496835.69,5962028.28,49159.55,261,2,24579.78,1903.59,0.02,101524.53,4.13,0.0,0.22,22.0
2024-05-01,528448.0,6341376.0,43071.41,268,7,6153.06,1971.82,0.02,105163.78,17.09,0.0,0.22,22.0
2024-06-01,540882.19,6490586.28,42512.36,265,2,21256.18,2041.06,0.02,108856.79,5.12,0.0,0.22,22.0
2024-07-01,568537.23,6822446.76,40609.39,269,4,10152.35,2113.52,0.02,112721.14,11.1,0.0,0.22,22.0
2024-08-01,557490.16,6689881.92,40888.44,260,2,20444.22,2144.19,0.02,114356.96,5.59,0.0,0.22,22.0
2024-09-01,574240.24,6890882.88,60249.31,252,2,30124.66,2278.73,0.02,121532.33,4.03,0.0,0.22,22.0
2024-10-01,593375.75,7120509.0,41164.17,253,2,20582.08,2345.36,0.02,125085.8,6.08,0.0,0.22,22.0
2024-11-01,582794.06,6993528.72,64223.72,242,2,32111.86,2408.24,0.02,128439.46,4.0,0.0,0.22,22.0
2024-12-01,597329.98,7167959.76,46164.59,238,2,23082.3,2509.79,0.02,133855.46,5.8,0.0,0.22,22.0
2025-01-01,626994.22,7523930.64,44590.87,245,7,6370.12,2559.16,0.02,136488.54,21.43,0.29,0.22,50.88
2025-02-01,610455.18,7325462.16,45758.83,239,2,22879.42,2554.21,0.02,136224.31,5.95,0.29,0.22,51.35
2025-03-01,628678.6,7544143.2,40909.02,239,2,20454.51,2630.45,0.02,140290.9,6.86,0.29,0.22,51.33
2025-04-01,610016.94,7320203.28,49053.7,244,5,9810.74,2500.07,0.02,133337.04,13.59,0.23,0.22,44.78
2025-05-01,635539.43,7626473.16,44600.91,247,3,14866.97,2573.03,0.02,137228.49,9.23,0.2,0.22,42.27
2025-06-01,636593.78,7639125.36,42996.43,241,2,21498.22,2641.47,0.02,140878.29,6.55,0.18,0.22,39.7
2025-07-01,652405.56,7828866.72,44673.29,239,2,22336.64,2729.73,0.02,145585.62,6.52,0.15,0.22,36.75
2025-08-01,671098.75,8053185.0,45752.91,240,2,22876.46,2796.24,0.02,149133.06,6.52,0.2,0.22,42.38
2025-09-01,698086.39,8377036.68,64269.55,240,2,32134.78,2908.69,0.02,155130.31,4.83,0.22,0.22,43.57
2025-10-01,686394.96,8236739.52,46783.46,234,2,23391.73,2933.31,0.02,156443.3,6.69,0.16,0.22,37.68
2025-11-01,689642.16,8275705.92,58285.75,231,2,29142.88,2985.46,0.02,159224.74,5.46,0.18,0.22,40.33
2025-12-01,704000.73,8448008.76,46662.58,224,2,23331.29,3142.86,0.02,167619.22,7.18,0.18,0.22,39.86
